srch_id,orig_destination_distance_x,orig_destination_distance_y
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
1,,
3,62.46,64.27407407407408
3,62.81,64.27407407407408
3,68.17,64.27407407407408
3,63.48,64.27407407407408
3,63.22,64.27407407407408
3,66.54,64.27407407407408
3,63.69,64.27407407407408
3,63.4,64.27407407407408
3,62.71,64.27407407407408
3,63.48,64.27407407407408
3,62.84,64.27407407407408
3,66.11,64.27407407407408
3,66.88,64.27407407407408
3,62.14,64.27407407407408
3,63.87,64.27407407407408
3,67.0,64.27407407407408
3,66.5,64.27407407407408
3,63.41,64.27407407407408
3,62.83,64.27407407407408
3,62.06,64.27407407407408
3,63.42,64.27407407407408
3,63.19,64.27407407407408
3,63.26,64.27407407407408
3,63.71,64.27407407407408
3,66.87,64.27407407407408
3,63.32,64.27407407407408
3,68.03,64.27407407407408
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
6,,652.8300000000003
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
7,,
10,2070.71,2075.267777777778
10,2071.04,2075.267777777778
10,2075.92,2075.267777777778
10,2070.82,2075.267777777778
10,2078.42,2075.267777777778
10,2073.7,2075.267777777778
10,2080.49,2075.267777777778
10,2074.28,2075.267777777778
10,2076.07,2075.267777777778
10,2071.28,2075.267777777778
10,2075.47,2075.267777777778
10,2071.89,2075.267777777778
10,2074.11,2075.267777777778
10,2081.42,2075.267777777778
10,2071.48,2075.267777777778
10,2073.01,2075.267777777778
10,2074.93,2075.267777777778
10,2078.45,2075.267777777778
10,2080.48,2075.267777777778
10,2078.35,2075.267777777778
10,2078.3,2075.267777777778
10,2072.32,2075.267777777778
10,2076.01,2075.267777777778
10,2080.06,2075.267777777778
10,2076.45,2075.267777777778
10,2076.04,2075.267777777778
10,2070.73,2075.267777777778
11,708.58,494.26169230769233
11,710.23,494.26169230769233
11,710.75,494.26169230769233
11,712.57,494.26169230769233
11,713.78,494.26169230769233
11,710.5,494.26169230769233
11,711.6,494.26169230769233
11,707.97,494.26169230769233
11,712.4,494.26169230769233
11,711.5,494.26169230769233
11,710.78,494.26169230769233
11,712.49,494.26169230769233
11,711.1,494.26169230769233
11,711.7,494.26169230769233
11,708.1,494.26169230769233
11,712.43,494.26169230769233
11,712.54,494.26169230769233
11,712.73,494.26169230769233
11,712.55,494.26169230769233
11,712.45,494.26169230769233
11,708.03,494.26169230769233
11,712.75,494.26169230769233
11,708.74,494.26169230769233
11,711.69,494.26169230769233
11,710.72,494.26169230769233
11,711.52,494.26169230769233
11,712.73,494.26169230769233
