srch_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,comp1_rate,comp1_inv,mean_prop_starrating,mean_prop_review_score,mean_prop_brand_bool,mean_prop_location_score1,mean_prop_location_score2,mean_prop_log_historical_price,cluster__0,cluster__1,cluster__2,cluster__3,cluster__4,cluster__5,diff_price_usd,diff_distance_orig
1,,,3,4.5,1,2.94,0.0691,5.03,119.0,0,1,10,2,0,1,0,,,,,3,4.5,1,2.9400000000000275,0.043491495601173116,4.196765498652277,1,0,0,0,0,0,0.2687033564942466,
1,,,3,4.5,1,2.64,0.0843,4.93,118.0,0,1,10,2,0,1,0,,,,,3,4.5,1,2.640000000000013,0.03856673913043493,4.2830443548387285,1,0,0,0,0,0,0.25804198375059745,
1,,,2,3.5,1,2.71,0.0556,4.16,49.0,0,1,10,2,0,1,0,,,,,2,3.5,1,2.7100000000000084,0.036759856630824435,3.7861204013377887,0,0,0,1,0,0,-0.4775927355611926,
1,,,3,4.5,1,2.4,0.0561,5.03,143.0,0,1,10,2,0,1,0,,,,,3,4.5,1,2.399999999999987,0.037827675276752834,4.295410958904108,1,0,0,0,0,0,0.5245763023418257,
1,,,3,4.5,1,2.94,0.209,4.72,79.0,0,1,10,2,0,1,0,,,,,3,4.5,1,2.9400000000000306,0.12522236842105308,4.011241050119343,1,0,0,0,0,0,-0.15775155325171866,
1,,,3,4.5,1,2.3,0.1826,4.68,84.15,0,1,10,2,0,1,0,,,,,3,4.5,1,2.299999999999971,0.0744841569767438,4.0471794871794895,1,0,0,0,0,0,-0.10284548362192557,
1,,,3,4.5,1,3.09,0.13,4.63,79.0,0,1,10,2,0,1,0,,,,,3,4.5,1,3.0899999999999963,0.08016942857142847,3.982442159383052,1,0,0,0,0,0,-0.15775155325171866,
1,,,2,4.5,0,2.83,0.0138,4.21,52.4,1,1,10,2,0,1,0,,,,,2,4.5,0,2.830000000000016,0.00883612040133777,3.614970059880253,0,0,0,0,0,1,-0.4413440682327856,
1,,,2,3.5,1,2.2,0.0808,4.36,49.99,1,1,10,2,0,1,0,,,,,2,3.5,1,2.200000000000024,0.043126970227670966,3.707042735042696,0,0,0,1,0,0,-0.4670379765449799,
1,,,3,4.0,1,2.08,0.1649,4.75,83.3,1,1,10,2,0,1,0,,,,,3,4.0,1,2.079999999999983,0.06691733870967788,4.021067839195987,1,0,0,0,0,0,-0.11190765045402742,
1,,,3,4.0,1,2.77,0.121,4.59,145.0,0,1,10,2,0,1,0,,,,,3,4.0,1,2.7699999999999894,0.0811802419354838,4.0636200716845865,1,0,0,0,0,0,0.5458990478291239,
1,,,0,0.0,0,3.04,0.0136,4.62,45.0,0,1,10,2,0,1,0,,,,,0,0.0,0,3.0400000000000085,0.013600000000000013,3.9593749999999988,0,0,0,0,1,0,-0.5202382265357891,
1,,,3,4.5,1,2.89,0.2425,4.69,88.88,1,1,10,2,0,1,0,,,,,3,4.5,1,2.890000000000037,0.09380099715099643,4.1229674796748,1,0,0,0,0,0,-0.05241719054446529,
1,,,3,4.5,1,2.77,0.2261,4.88,103.98,0,1,10,2,0,1,0,,,,,3,4.5,1,2.7699999999999885,0.1570450847457627,4.236385542168668,1,0,0,0,0,0,0.10856953788463668,
